seed=25
gen=0	fitness=765.781661552921	tour=[0, 10, 21, 12, 14, 18, 4, 3, 6, 17, 11, 23, 16, 24, 15, 5, 22, 20, 13, 9, 1, 7, 2, 8, 19]
gen=1	fitness=436.973496495333	tour=[16, 22, 21, 20, 5, 10, 13, 1, 19, 9, 12, 15, 24, 14, 4, 18, 6, 23, 17, 11, 3, 0, 8, 2, 7]
gen=2	fitness=423.890278995272	tour=[13, 16, 22, 21, 20, 5, 10, 4, 14, 18, 24, 15, 12, 19, 9, 1, 7, 8, 2, 0, 3, 11, 17, 23, 6]
gen=3	fitness=400.647961460093	tour=[6, 23, 17, 3, 11, 0, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 20, 21, 22, 13, 16, 5]
gen=4	fitness=400.647961460093	tour=[6, 23, 17, 3, 11, 0, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 20, 21, 22, 13, 16, 5]
gen=5	fitness=400.647961460093	tour=[6, 23, 17, 3, 11, 0, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 20, 21, 22, 13, 16, 5]
gen=6	fitness=400.647961460093	tour=[6, 23, 17, 3, 11, 0, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 20, 21, 22, 13, 16, 5]
gen=7	fitness=400.647961460093	tour=[6, 23, 17, 3, 11, 0, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 20, 21, 22, 13, 16, 5]
gen=8	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=9	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=10	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=11	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=12	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=13	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=14	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=15	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=16	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=17	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=18	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=19	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=20	fitness=385.869106324597	tour=[5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
