seed=31
gen=0	fitness=765.781661552921	tour=[0, 10, 21, 12, 14, 18, 4, 3, 6, 17, 11, 23, 16, 24, 15, 5, 22, 20, 13, 9, 1, 7, 2, 8, 19]
gen=1	fitness=436.973496495333	tour=[16, 22, 21, 20, 5, 10, 13, 1, 19, 9, 12, 15, 24, 14, 4, 18, 6, 23, 17, 11, 3, 0, 8, 2, 7]
gen=2	fitness=423.890278995272	tour=[13, 16, 22, 21, 20, 5, 10, 4, 14, 18, 24, 15, 12, 19, 9, 1, 7, 8, 2, 0, 3, 11, 17, 23, 6]
gen=3	fitness=422.500569560114	tour=[22, 16, 21, 20, 5, 13, 8, 2, 7, 1, 19, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=4	fitness=419.584645172822	tour=[19, 1, 9, 12, 15, 24, 14, 18, 4, 20, 5, 21, 22, 16, 13, 10, 6, 23, 17, 11, 3, 0, 2, 8, 7]
gen=5	fitness=413.182734944045	tour=[19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 20, 5, 21, 22, 16, 13, 6, 23, 17, 11, 3, 0, 8, 2, 7]
gen=6	fitness=402.339018073485	tour=[4, 10, 21, 22, 13, 16, 20, 5, 6, 23, 17, 11, 3, 0, 8, 2, 7, 9, 1, 19, 12, 15, 24, 14, 18]
gen=7	fitness=402.339018073485	tour=[4, 10, 21, 22, 13, 16, 20, 5, 6, 23, 17, 11, 3, 0, 8, 2, 7, 9, 1, 19, 12, 15, 24, 14, 18]
gen=8	fitness=399.058915343700	tour=[22, 16, 13, 8, 2, 7, 1, 19, 9, 12, 15, 24, 14, 18, 4, 10, 21, 20, 5, 0, 11, 3, 17, 23, 6]
gen=9	fitness=399.058915343700	tour=[22, 16, 13, 8, 2, 7, 1, 19, 9, 12, 15, 24, 14, 18, 4, 10, 21, 20, 5, 0, 11, 3, 17, 23, 6]
gen=10	fitness=399.058915343700	tour=[22, 16, 13, 8, 2, 7, 1, 19, 9, 12, 15, 24, 14, 18, 4, 10, 21, 20, 5, 0, 11, 3, 17, 23, 6]
gen=11	fitness=398.832118420298	tour=[5, 20, 21, 22, 16, 13, 7, 8, 2, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=12	fitness=392.891897437430	tour=[22, 21, 10, 20, 5, 0, 11, 3, 17, 23, 6, 4, 18, 14, 24, 15, 12, 9, 1, 19, 7, 8, 2, 13, 16]
gen=13	fitness=389.028533686510	tour=[13, 16, 22, 21, 20, 5, 0, 11, 3, 17, 23, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8]
gen=14	fitness=389.028533686510	tour=[13, 16, 22, 21, 20, 5, 0, 11, 3, 17, 23, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8]
gen=15	fitness=389.028533686510	tour=[13, 16, 22, 21, 20, 5, 0, 11, 3, 17, 23, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8]
gen=16	fitness=389.028533686510	tour=[13, 16, 22, 21, 20, 5, 0, 11, 3, 17, 23, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8]
gen=17	fitness=389.028533686510	tour=[13, 16, 22, 21, 20, 5, 0, 11, 3, 17, 23, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8]
gen=18	fitness=389.028533686510	tour=[13, 16, 22, 21, 20, 5, 0, 11, 3, 17, 23, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8]
gen=19	fitness=389.028533686510	tour=[13, 16, 22, 21, 20, 5, 0, 11, 3, 17, 23, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8]
gen=20	fitness=389.028533686510	tour=[13, 16, 22, 21, 20, 5, 0, 11, 3, 17, 23, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8]
