seed=3
gen=0	fitness=86.351165538512	position=[0.067980, 1.811394, -0.947967, -2.703582, 0.009370, -3.243238, 3.226645, 1.150452, -0.786907, -0.945921]
gen=1	fitness=77.630206545047	position=[0.900278, -3.076579, 1.350168, -2.217891, 0.147024, -0.120879, 0.130011, 1.961173, 2.154394, -1.791436]
gen=2	fitness=57.679806646405	position=[-0.721812, -1.939605, -0.890269, -0.894102, 3.093749, -2.088761, 3.027646, 0.927365, -0.911371, 2.025971]
gen=3	fitness=54.828770329155	position=[0.084842, -1.081104, -1.090527, -2.008467, -0.195195, -1.866434, 0.218298, 1.021641, 1.042302, -0.472552]
gen=4	fitness=46.248378773903	position=[0.373712, -2.008151, 0.032487, -1.915958, 0.969103, -1.004235, 1.065627, 1.200266, 1.159612, -1.038089]
gen=5	fitness=46.248378773903	position=[0.373712, -2.008151, 0.032487, -1.915958, 0.969103, -1.004235, 1.065627, 1.200266, 1.159612, -1.038089]
gen=6	fitness=46.248378773903	position=[0.373712, -2.008151, 0.032487, -1.915958, 0.969103, -1.004235, 1.065627, 1.200266, 1.159612, -1.038089]
gen=7	fitness=46.248378773903	position=[0.373712, -2.008151, 0.032487, -1.915958, 0.969103, -1.004235, 1.065627, 1.200266, 1.159612, -1.038089]
gen=8	fitness=34.201671303572	position=[0.187576, -2.047612, -0.025241, -1.911122, 1.102247, -1.072927, 0.982755, 1.187022, 1.084179, -1.047645]
gen=9	fitness=34.201671303572	position=[0.187576, -2.047612, -0.025241, -1.911122, 1.102247, -1.072927, 0.982755, 1.187022, 1.084179, -1.047645]
gen=10	fitness=34.201671303572	position=[0.187576, -2.047612, -0.025241, -1.911122, 1.102247, -1.072927, 0.982755, 1.187022, 1.084179, -1.047645]
gen=11	fitness=24.049068851772	position=[0.088645, -1.823637, 0.006108, -1.949404, 1.083846, -1.050078, 0.974456, 1.030396, 1.006554, -0.927056]
gen=12	fitness=18.580360069152	position=[0.034042, -1.992370, -0.010837, -1.895683, 1.005509, -0.998204, 0.984274, 1.111193, 0.983861, -1.011993]
gen=13	fitness=18.298086045141	position=[0.000570, -2.018888, -0.053338, -1.973588, 0.944245, -0.979599, 0.973891, 0.965955, 1.037147, -1.107663]
gen=14	fitness=16.080071902186	position=[0.012642, -1.968375, -0.031024, -1.947088, 0.974088, -1.018112, 0.999613, 1.066924, 1.030540, -1.004076]
gen=15	fitness=16.080071902186	position=[0.012642, -1.968375, -0.031024, -1.947088, 0.974088, -1.018112, 0.999613, 1.066924, 1.030540, -1.004076]
gen=16	fitness=15.593980994598	position=[0.018998, -1.993989, -0.045789, -1.976132, 1.002070, -1.047174, 0.975777, 0.999733, 1.013261, -1.042576]
gen=17	fitness=15.593980994598	position=[0.018998, -1.993989, -0.045789, -1.976132, 1.002070, -1.047174, 0.975777, 0.999733, 1.013261, -1.042576]
gen=18	fitness=15.593980994598	position=[0.018998, -1.993989, -0.045789, -1.976132, 1.002070, -1.047174, 0.975777, 0.999733, 1.013261, -1.042576]
gen=19	fitness=15.593980994598	position=[0.018998, -1.993989, -0.045789, -1.976132, 1.002070, -1.047174, 0.975777, 0.999733, 1.013261, -1.042576]
gen=20	fitness=15.593980994598	position=[0.018998, -1.993989, -0.045789, -1.976132, 1.002070, -1.047174, 0.975777, 0.999733, 1.013261, -1.042576]
