seed=30
gen=0	fitness=464.640151475804	tour=[0, 5, 22, 14, 16, 11, 10, 8, 19, 24, 23, 21, 20, 18, 3, 9, 4, 12, 13, 7, 17, 15, 6, 2, 1]
gen=1	fitness=294.049183472877	tour=[18, 17, 22, 23, 19, 24, 14, 13, 12, 11, 16, 21, 20, 15, 10, 5, 6, 0, 1, 2, 7, 8, 3, 9, 4]
gen=2	fitness=294.049183472877	tour=[18, 17, 22, 23, 19, 24, 14, 13, 12, 11, 16, 21, 20, 15, 10, 5, 6, 0, 1, 2, 7, 8, 3, 9, 4]
gen=3	fitness=283.983456376682	tour=[8, 13, 18, 23, 22, 21, 20, 17, 12, 7, 6, 11, 16, 15, 10, 5, 0, 1, 2, 3, 4, 9, 14, 19, 24]
gen=4	fitness=280.644951022460	tour=[11, 6, 1, 0, 5, 10, 15, 16, 20, 21, 22, 17, 18, 19, 24, 23, 13, 14, 9, 4, 3, 2, 7, 12, 8]
gen=5	fitness=268.284271247462	tour=[14, 9, 4, 3, 2, 1, 0, 5, 10, 15, 16, 20, 21, 22, 23, 24, 19, 18, 13, 8, 7, 6, 11, 17, 12]
gen=6	fitness=268.284271247462	tour=[14, 9, 4, 3, 2, 1, 0, 5, 10, 15, 16, 20, 21, 22, 23, 24, 19, 18, 13, 8, 7, 6, 11, 17, 12]
gen=7	fitness=254.142135623731	tour=[8, 3, 4, 9, 14, 19, 24, 23, 22, 21, 20, 15, 10, 5, 0, 1, 2, 7, 6, 11, 16, 17, 18, 13, 12]
gen=8	fitness=254.142135623731	tour=[8, 3, 4, 9, 14, 19, 24, 23, 22, 21, 20, 15, 10, 5, 0, 1, 2, 7, 6, 11, 16, 17, 18, 13, 12]
gen=9	fitness=254.142135623731	tour=[8, 3, 4, 9, 14, 19, 24, 23, 22, 21, 20, 15, 10, 5, 0, 1, 2, 7, 6, 11, 16, 17, 18, 13, 12]
gen=10	fitness=254.142135623731	tour=[8, 3, 4, 9, 14, 19, 24, 23, 22, 21, 20, 15, 10, 5, 0, 1, 2, 7, 6, 11, 16, 17, 18, 13, 12]
